央视频道,#genre#
福建少儿,rtsp://112.111.36.140/PLTV/88888909/224/3221225786/10000100000000060000000001426129_0.smil
游戏风云,rtsp://112.111.36.140/PLTV/88888909/224/3221225785/10000100000000060000000001425778_0.smil
IPTV野外,rtsp://112.111.36.140/PLTV/88888909/224/3221225730/10000100000000060000000000401591_0.smil
IPTV少儿动画,rtsp://112.111.36.140/PLTV/88888909/224/3221225739/10000100000000060000000000402460_0.smil


电影剧场,#genre#
爱上4K,rtsp://112.111.36.140/PLTV/88888909/224/3221225965/10000100000000060000000003176328_0.smil
CCTV-6 电影,rtsp://36.250.89.13:554/PLTV/88888909/224/3221225847/10000100000000060000000002691351_0.smil
CCTV-6 电影,rtsp://112.111.36.140/PLTV/88888909/224/3221225847/10000100000000060000000002691351_0.smil
CCTV-8 电视剧,rtsp://36.250.89.9:554/PLTV/88888909/224/3221225970/10000100000000060000000004051303_0.smil
CCTV-8 电视剧,rtsp://112.111.36.140/PLTV/88888909/224/3221225849/10000100000000060000000002694522_0.smil
IPTV8+,rtsp://112.111.36.140/PLTV/88888909/224/3221225736/10000100000000060000000000401651_0.smil
IPTV热播剧场,rtsp://112.111.36.140/PLTV/88888909/224/3221225742/10000100000000060000000000402494_0.smil
IPTV谍战剧场,rtsp://112.111.36.140/PLTV/88888909/224/3221225728/10000100000000060000000000401568_0.smil
欢笑剧场,rtsp://112.111.36.140/PLTV/88888909/224/3221225770/10000100000000060000000001418465_0.smil
都市剧场,rtsp://112.111.36.140/PLTV/88888909/224/3221225771/10000100000000060000000001418795_0.smil
IPTV6+,rtsp://112.111.36.140/PLTV/88888909/224/3221225735/10000100000000060000000000401650_0.smil
IPTV经典电影,rtsp://112.111.36.140/PLTV/88888909/224/3221225743/10000100000000060000000000403890_0.smil

